                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2821,                 3.2327,                 1.5055,                0.55481,                0.43698,                0.45614,                 0.2888,                 1.3648,                 2.2839,                  1.626,              0.0033275,              0.0033275,              0.0033275
                      2,                 1.2764,                 2.0753,                 1.4364,                0.59676,                0.50837,                0.49274,                 0.3129,                 1.3612,                 2.1002,                 1.5676,              0.0065949,              0.0065949,              0.0065949
                      3,                 1.3207,                 1.9317,                 1.4555,                0.62494,                0.47352,                0.46148,                0.27266,                 1.4913,                 2.3925,                 1.6708,              0.0097963,              0.0097963,              0.0097963
                      4,                 1.3574,                 1.7931,                  1.464,                0.63797,                0.52462,                0.54462,                0.32989,                 1.4367,                 1.7914,                 1.6501,               0.009703,               0.009703,               0.009703
                      5,                 1.3393,                 1.6207,                 1.4436,                0.68059,                0.57826,                 0.6057,                0.38645,                 1.3779,                 1.5416,                 1.5457,               0.009703,               0.009703,               0.009703
                      6,                 1.2978,                 1.4791,                 1.4186,                0.70536,                0.61788,                0.62567,                0.38883,                  1.374,                 1.5315,                 1.5611,               0.009604,               0.009604,               0.009604
                      7,                 1.2795,                 1.3861,                 1.3997,                0.67606,                0.56708,                0.60291,                0.38326,                 1.3744,                 1.4999,                 1.5371,               0.009505,               0.009505,               0.009505
                      8,                 1.2579,                 1.3238,                 1.3795,                 0.7661,                0.63255,                0.68274,                0.44134,                 1.3345,                  1.256,                 1.5044,               0.009406,               0.009406,               0.009406
                      9,                 1.2409,                 1.2787,                 1.3781,                0.74764,                0.63635,                0.67191,                0.43635,                 1.3041,                 1.2831,                 1.4468,               0.009307,               0.009307,               0.009307
                     10,                   1.23,                 1.2336,                 1.3634,                0.76306,                0.62008,                0.67791,                0.44521,                  1.303,                  1.261,                 1.4927,               0.009208,               0.009208,               0.009208
                     11,                 1.2227,                 1.2001,                 1.3578,                0.74004,                0.62602,                0.66141,                0.43579,                 1.2866,                 1.2409,                 1.4475,               0.009109,               0.009109,               0.009109
                     12,                 1.2092,                 1.1675,                 1.3421,                0.78626,                 0.6565,                0.70242,                0.46942,                  1.257,                 1.1759,                  1.423,                0.00901,                0.00901,                0.00901
                     13,                 1.1978,                 1.1479,                 1.3341,                  0.751,                0.66066,                0.68764,                0.45242,                 1.2879,                 1.1769,                  1.438,               0.008911,               0.008911,               0.008911
                     14,                 1.1971,                 1.1322,                 1.3364,                0.78676,                0.63491,                0.70245,                0.46528,                  1.276,                 1.1264,                 1.4223,               0.008812,               0.008812,               0.008812
                     15,                 1.1892,                 1.1065,                 1.3333,                0.76231,                0.67783,                 0.6998,                0.46559,                  1.265,                 1.1414,                 1.4194,               0.008713,               0.008713,               0.008713
                     16,                 1.1817,                 1.0888,                 1.3281,                0.77215,                0.68354,                0.72004,                0.47919,                 1.2696,                 1.0967,                 1.4162,               0.008614,               0.008614,               0.008614
                     17,                 1.1752,                 1.0658,                 1.3238,                0.73398,                0.66202,                0.69061,                0.45999,                 1.2762,                 1.1634,                 1.4419,               0.008515,               0.008515,               0.008515
                     18,                 1.1563,                 1.0433,                 1.3106,                  0.749,                0.67837,                0.69575,                0.46189,                 1.2703,                 1.1036,                 1.4186,               0.008416,               0.008416,               0.008416
                     19,                 1.1558,                 1.0302,                 1.3091,                0.80946,                 0.6473,                0.72252,                0.48856,                 1.2395,                 1.0698,                 1.4005,               0.008317,               0.008317,               0.008317
                     20,                  1.158,                 1.0241,                 1.3128,                0.76947,                0.67724,                0.71787,                 0.4792,                   1.25,                 1.0625,                 1.4079,               0.008218,               0.008218,               0.008218
                     21,                 1.1521,                  1.003,                 1.3059,                0.77667,                 0.6895,                0.72031,                0.48705,                 1.2485,                 1.0529,                 1.3992,               0.008119,               0.008119,               0.008119
                     22,                 1.1369,                0.99234,                 1.2921,                0.78089,                0.68015,                0.72327,                0.49356,                   1.22,                  1.054,                 1.3773,                0.00802,                0.00802,                0.00802
                     23,                 1.1323,                0.97451,                 1.2945,                0.75064,                0.67415,                0.71366,                0.48016,                 1.2661,                 1.1034,                 1.4168,               0.007921,               0.007921,               0.007921
                     24,                 1.1257,                0.97622,                 1.2926,                0.79157,                0.67641,                0.71862,                0.48276,                 1.2396,                 1.0594,                 1.3975,               0.007822,               0.007822,               0.007822
                     25,                 1.1161,                0.95029,                 1.2811,                0.81781,                0.67667,                0.73122,                0.49716,                 1.2207,                 1.0239,                 1.3862,               0.007723,               0.007723,               0.007723
                     26,                 1.1226,                0.95367,                 1.2828,                 0.7948,                0.66627,                0.72249,                0.49535,                 1.2165,                 1.0436,                 1.3808,               0.007624,               0.007624,               0.007624
                     27,                 1.1216,                0.94659,                 1.2835,                0.80091,                0.66579,                0.71712,                0.49268,                 1.2102,                 1.0362,                 1.3848,               0.007525,               0.007525,               0.007525
                     28,                  1.113,                0.93177,                 1.2769,                0.78036,                0.67611,                0.73187,                0.50909,                 1.2101,                 1.0504,                 1.3833,               0.007426,               0.007426,               0.007426
                     29,                 1.1045,                 0.9241,                 1.2743,                0.78043,                0.69504,                0.72637,                0.49816,                 1.2035,                0.99053,                 1.3713,               0.007327,               0.007327,               0.007327
                     30,                 1.0994,                0.91241,                 1.2727,                0.79745,                0.68182,                0.72234,                0.48952,                 1.2299,                 1.0043,                 1.3951,               0.007228,               0.007228,               0.007228
                     31,                 1.1031,                0.89831,                 1.2682,                0.80639,                0.68599,                0.73564,                0.49741,                 1.2319,                0.99677,                  1.391,               0.007129,               0.007129,               0.007129
                     32,                 1.0995,                0.89654,                 1.2663,                0.81638,                0.67725,                0.73355,                0.50536,                 1.2111,                 1.0044,                 1.3758,                0.00703,                0.00703,                0.00703
                     33,                 1.0885,                0.88568,                 1.2599,                0.80492,                 0.6747,                0.73032,                0.50122,                 1.2159,                      1,                 1.3721,               0.006931,               0.006931,               0.006931
                     34,                 1.0963,                0.88033,                 1.2624,                0.79715,                0.67536,                0.72507,                    0.5,                  1.205,                 1.0204,                  1.374,               0.006832,               0.006832,               0.006832
                     35,                  1.084,                0.86736,                  1.253,                0.79455,                0.67829,                0.72953,                0.50179,                 1.2044,                0.98054,                 1.3774,               0.006733,               0.006733,               0.006733
                     36,                 1.0726,                0.85033,                 1.2521,                0.78378,                0.69011,                  0.726,                 0.4975,                  1.225,                 1.0005,                  1.393,               0.006634,               0.006634,               0.006634
                     37,                 1.0711,                0.85939,                 1.2506,                0.77159,                0.70458,                0.73639,                  0.508,                 1.2111,                0.99216,                 1.3741,               0.006535,               0.006535,               0.006535
                     38,                 1.0666,                0.84602,                 1.2466,                0.77803,                0.70935,                0.73756,                0.50791,                 1.2069,                0.97393,                 1.3759,               0.006436,               0.006436,               0.006436
                     39,                 1.0693,                 0.8389,                 1.2515,                0.79041,                0.69636,                0.73447,                0.50571,                 1.2023,                0.98209,                 1.3692,               0.006337,               0.006337,               0.006337
                     40,                 1.0637,                0.84075,                 1.2454,                0.79252,                0.69305,                0.73536,                0.51113,                 1.1983,                0.98458,                 1.3631,               0.006238,               0.006238,               0.006238
                     41,                 1.0578,                0.82834,                 1.2406,                0.79374,                0.69288,                0.73144,                0.50689,                 1.2209,                0.98123,                 1.3773,               0.006139,               0.006139,               0.006139
                     42,                 1.0515,                  0.819,                 1.2379,                0.80532,                0.68636,                 0.7427,                0.51922,                 1.2017,                0.97256,                 1.3692,                0.00604,                0.00604,                0.00604
                     43,                 1.0531,                0.81062,                 1.2379,                0.80362,                0.68796,                0.73143,                0.50583,                 1.2058,                0.98263,                 1.3736,               0.005941,               0.005941,               0.005941
